iter	MultiClass
0	1.077184955
1	1.060265247
2	1.046372101
3	1.036107346
4	1.027640053
5	1.019356379
6	1.011608956
7	1.005809566
8	1.000019748
9	0.9959270166
10	0.9925588171
11	0.9888768722
12	0.9854022945
13	0.9827868394
14	0.9804049809
15	0.9782416801
16	0.9767222509
17	0.9752218804
18	0.9737471443
19	0.9727386303
20	0.9714226171
21	0.9703758591
22	0.9691061407
23	0.9682265977
24	0.9673645584
25	0.9663137389
26	0.965612389
27	0.9650643959
28	0.9644620165
29	0.9640273598
30	0.9631862534
31	0.962690072
32	0.9622605602
33	0.961564425
34	0.9610989504
35	0.9606257875
36	0.9601896567
37	0.9598611985
38	0.959547513
39	0.9590821958
40	0.958721867
41	0.9584286641
42	0.9581878228
43	0.9580470287
44	0.9576445414
45	0.9573499525
46	0.9569417984
47	0.9567426357
48	0.9563387927
49	0.9560603174
50	0.9558871357
51	0.9557267602
52	0.9554635729
53	0.9553259812
54	0.9550936453
55	0.9547455561
56	0.95460823
57	0.9543609155
58	0.9541127603
59	0.9538252259
60	0.9537181308
61	0.9536061821
62	0.9533310189
63	0.953199448
64	0.9529468734
65	0.9527108604
66	0.9525455267
67	0.9523137648
68	0.9520808271
69	0.9518741046
70	0.9515117455
71	0.9512720874
72	0.9508903071
73	0.9506552009
74	0.9504706291
75	0.9502933071
76	0.9498296298
77	0.9495529831
78	0.9493316184
79	0.9490876183
80	0.9489408943
81	0.9486981742
82	0.9486478861
83	0.9484799584
84	0.9483927272
85	0.9481741471
86	0.9480548461
87	0.947714041
88	0.9475252176
89	0.9473413166
90	0.9472731821
91	0.9470281232
92	0.9469605556
93	0.9466967112
94	0.9464363405
95	0.946273155
96	0.9459940838
97	0.9456909741
98	0.945554665
99	0.9452411973
100	0.9448623417
101	0.9446981846
102	0.9442993283
103	0.9440246022
104	0.9438954667
105	0.9435962992
106	0.9433200571
107	0.9430583883
108	0.9429182252
109	0.9428017374
110	0.9426524243
111	0.9424366222
112	0.9422431129
113	0.9419377234
114	0.9418557397
115	0.9416793325
116	0.941506879
117	0.94131075
118	0.9411990538
119	0.9411150664
120	0.9408290727
121	0.9407315805
122	0.9404928894
123	0.9401345064
124	0.9399705783
125	0.9398725611
126	0.939733728
127	0.9394708256
128	0.9391172403
129	0.9390188729
130	0.9386920353
131	0.9384631162
132	0.9382492686
133	0.9379673284
134	0.9378637257
135	0.9378164794
136	0.9375478606
137	0.937316379
138	0.937255551
139	0.9369498821
140	0.9367602644
141	0.9366547905
142	0.9364956843
143	0.9363684078
144	0.9362680636
145	0.9360971936
146	0.9360194991
147	0.9359279535
148	0.9356484967
149	0.9355547188
150	0.9353951299
151	0.9353158889
152	0.9351319021
153	0.9349626155
154	0.9347145731
155	0.9345458747
156	0.934298217
157	0.9340944481
158	0.9339993127
159	0.933923366
160	0.9336010124
161	0.933365101
162	0.9331759282
163	0.9329807579
164	0.9328871996
165	0.9327359697
166	0.9325524305
167	0.9324205206
168	0.9323467406
169	0.9321982586
170	0.9321224491
171	0.9320500117
172	0.9319630873
173	0.9317249551
174	0.9316265888
175	0.9314776364
176	0.9313641003
177	0.931060669
178	0.9309845946
179	0.9307985924
180	0.930670108
181	0.9305465321
182	0.9304339637
183	0.9302714154
184	0.9301277411
185	0.9299191548
186	0.9298517889
187	0.9297735138
188	0.9296586153
189	0.9295699598
190	0.9293965316
191	0.9292791216
192	0.9289877415
193	0.9288691398
194	0.9286340035
195	0.9285588694
196	0.9284536049
197	0.9281648017
198	0.928069054
199	0.9278812546
200	0.9278074034
201	0.9277451542
202	0.9275672372
203	0.9273679766
204	0.9272592597
205	0.9271540424
206	0.9270234942
207	0.9268957265
208	0.9267620644
209	0.9265600925
210	0.9264182359
211	0.9262847992
212	0.9260558719
213	0.9258627325
214	0.9257298288
215	0.9256424095
216	0.9255607204
217	0.9253965924
218	0.9252726235
219	0.9251515481
220	0.9249432999
221	0.9247403058
222	0.9245755492
223	0.9244399449
224	0.9242534399
225	0.9239734292
226	0.9238125754
227	0.9237105295
228	0.9236383165
229	0.9234360644
230	0.9232271218
231	0.9230566842
232	0.9229546125
233	0.9227946123
234	0.922651278
235	0.9225211063
236	0.9223243598
237	0.9222005906
238	0.9220692782
239	0.9219015418
240	0.9217584643
241	0.9216003183
242	0.9215407216
243	0.9214589185
244	0.9212817765
245	0.921123796
246	0.9209380396
247	0.9208126436
248	0.9206587093
249	0.920488924
250	0.9204352189
251	0.9203248044
252	0.9202254069
253	0.9201409716
254	0.9200844286
255	0.9199775255
256	0.9198209659
257	0.9196982948
258	0.9196070123
259	0.9194512654
260	0.9193104631
261	0.9191937093
262	0.9191097172
263	0.9189802878
264	0.9188857749
265	0.9186658095
266	0.918478676
267	0.9183483692
268	0.9181872602
269	0.9180861509
270	0.9179530726
271	0.9178066637
272	0.917653985
273	0.9176367508
274	0.91757251
275	0.917448108
276	0.9173734262
277	0.9172690908
278	0.9171148364
279	0.9170713758
280	0.916885106
281	0.9168155514
282	0.9166106614
283	0.9164495973
284	0.916386745
285	0.916314585
286	0.9161429164
287	0.9160006094
288	0.9159477873
289	0.9157601473
290	0.9156543608
291	0.9156196343
292	0.9154882592
293	0.9153209137
294	0.9152066729
295	0.9150806344
296	0.9149573305
297	0.9148414695
298	0.91481987
299	0.9147859601
